Japanese,Vietnamese
この本はとても厚い。,quyển sách này rất dày .
本当？,thật sao ?
彼はロンドンの貧しい地区に住んでいる。,anh ấy sống ở một khu nghèo của London .
何を専攻していますか。,chuyên ngành của bạn là gì ?
ええ、どうぞ来てね。,"vâng , xin mời tới đây ."
最近、太ってきました。,tôi gần đây đang lên cân .
彼は金持ちのように思える。,anh ta nhìn cũng giống như một người giàu .
その外国人はまるで母語のように日本語を話した。,người ngoại đó nói tiếng Nhật như là tiếng mẹ đẻ của mình .
トムはメアリーと一緒にいるところを見られたくなかった。,Tom không muốn ai thấy mình đi cùng với Mary .
彼の反抗的な態度に上司は腹を立てた。,thái độ thách đố của anh ta khiến thủ trưởng tức giận .
ええ、どうぞ来てね。,"vâng , xin mời tới đây ."
「アンドレア」と申します。,tên tôi là Andrea .
コーヒーか紅茶、どちらになさいますか。,bạn muốn dùng cà phê hay dùng trà ?
仕事に行きたくない。,mình không muốn đi làm .
子供の頃のことをよくおぼえている。,tôi nhớ rất rõ những ký ức về thời thơ ấu của mình .
彼は速く泳げる。,anh ta có thể bơi nhanh .
「おわったの。」「それどころかまだ始めていないよ。」," xong chưa vậy ?  "" tôi còn chưa bắt đầu nữa mà . """
仕事の話はなしにしよう。,chúng ta đừng nói về chuyện công việc .
髪型変えたら10歳は若く見えるよ。,bạn mà đổi kiểu tóc sẽ trông trẻ ra đến 10 tuổi .
私たちの先生は美人であったが、着飾るような人ではなかった。,cô giáo của chúng là một người đẹp nhưng lại không phải là típ người mặc đẹp .
彼は夕食後に授業の勉強をします。,anh ta học bài sau bữa tối .
何かお飲みになりますか？,bạn có muốn uống cái gì không ?
メアリーは昨日の夜遅くまで起きていた。,Mary hôm qua thức đêm .
これ誰の本？,sách của ai thế ?
白い服を着ている婦人は有名な女優です。,người phụ nữ mắc đồ trắng kia là một diễn viên nổi tiếng .
彼の髪形を見て思わず笑ってしまった。,tôi không thể nhịn cười khi nhìn thấy kiểu tóc của anh ta .
ここで予約をしてもらえますか。,tôi có thể đặt chỗ trước ở đây không ?
愛してる。,anh phải lòng em .
私は誰と話しているの？,tôi đang nói chuyện với ai đây ?
体重がずいぶん減ったのでズボンがとても緩い。,quần của tôi rộng vì tôi sụt nhiều ký .
月は自分では光らない。,mặt trăng không tự phát sáng .
たぶん彼にしてみれば同じことよ。,có lẽ cũng vậy cho anh ấy luôn .
すぐに戻ります。,tôi trở lại mau .
彼はうまく歌えません。,anh ta hát không hay .
私が金のネックレスを彼女の誕生日プレゼントに買ったことはエリザベスには言わないで下さい。,xin đừng tiết lộ với Elizabeth là tôi đã mua cho cô ấy sợi dây chuyền vàng tặng sinh nhật của cô ấy nhé .
彼女は日本語を勉強しようと日本に来た。,cô ấy đến Nhật để học Nhật ngữ .
哲学は難しいと見なされることが多い。,triết học thường được xem là khó .
私は招待書を受け取りました。,tôi đã nhận được giấy mời .
私はたいてい夕方シャワーを浴びます。,tôi thường tắm vào buổi tối .
それは私をぞっとさせた。,điều đó làm tôi thấy rợn người .
私はこれが好きです。,mình thích cái này .
パリで勉強したい。,tôi muốn đi du học ở Paris .
父はいつも冷静である。,cha tôi luôn luôn điềm tĩnh .
あなたのアドバイスにはいつも助けられています。,lời khuyên của bạn luôn luôn hữu ích đối với tôi .
貧しい人とはほんのわずかしか持っていない人ではなく欲のありすぎる人である。,người nghèo không phải là người có quá ít mà là người muốn quá nhiều .
悪天候のため、出発できなかった。,vì thời tiết xấu tôi đã không thể xuất phát .
私は私の愛の予言を告げる星座たちの光の数を数えた。,tôi đếm tia sáng những chòm sao như một lời tiên đoán cho tình yêu của mình .
私はあなたに本当の事を話そう。,tôi định sẽ nói với anh sự thật
彼の話はあまりにも馬鹿げていたので誰も信じなかった。,chuyện của nó tào lao đến nỗi chẳng ai tin được .
トムに話しておくべきだった。,bạn nên nói chuyện với Tom .
彼が部屋にはいるのを見た。,tôi nhìn thấy anh ấy đi vào trong phòng .
考えをもつことはいいことだ..そう思わない？,có lý tưởng là điều tốt ... bạn nghĩ sao ?
目に砂が入りました。,cát chui vào mắt tôi .
私はあなたを助けた。,tôi đã cứu được anh .
誰も来なかった。,không ai tới hết .
ありがとう、それだけだよ。,cám ơn . thôi nhé .
でもあなたは私に言ってくれなかったでしょ！,nhưng bạn chưa nói tôi về chuyện này mà !
私は山にいました。,tôi từ trên núi xuống .
どのカップがあなたのですか。,cái tách nào là của bạn ?
ファストフードはもう飽きた。,tôi ngán thức ăn nhanh quá rồi .
電車が停まるまで開けないで。,đừng mở trước khi xe lửa ngừng lại .
新聞によると彼が自殺したようだ。,theo báo chí thì anh ta đã tự sát .
